datetime_local,temperature_C,relative_humidity_%,cloud_cover_%,precipitation_mm,rain_mm,weather_code,year,date
1940-09-22T00:00,10.1,97,2,0.0,0.0,0,1940,1940-09-22
1940-09-22T01:00,9.8,97,13,0.0,0.0,0,1940,1940-09-22
1940-09-22T02:00,9.7,97,36,0.0,0.0,1,1940,1940-09-22
1940-09-22T03:00,9.2,96,61,0.0,0.0,2,1940,1940-09-22
1940-09-22T04:00,8.0,97,100,0.0,0.0,3,1940,1940-09-22
1940-09-22T05:00,7.4,98,100,0.0,0.0,3,1940,1940-09-22
1940-09-22T06:00,7.2,99,100,0.0,0.0,3,1940,1940-09-22
1940-09-22T07:00,7.5,99,100,0.0,0.0,3,1940,1940-09-22
1940-09-22T08:00,8.8,95,100,0.0,0.0,3,1940,1940-09-22
1940-09-22T09:00,11.2,87,100,0.0,0.0,3,1940,1940-09-22
1940-09-22T10:00,14.6,75,79,0.0,0.0,2,1940,1940-09-22
1940-09-22T11:00,16.6,81,67,0.0,0.0,2,1940,1940-09-22
1940-09-22T12:00,17.6,72,81,0.0,0.0,3,1940,1940-09-22
1940-09-22T13:00,18.0,66,93,0.0,0.0,3,1940,1940-09-22
1940-09-22T14:00,18.2,63,87,0.0,0.0,3,1940,1940-09-22
1940-09-22T15:00,18.2,60,87,0.0,0.0,3,1940,1940-09-22
1940-09-22T16:00,17.8,63,98,0.1,0.1,51,1940,1940-09-22
1940-09-22T17:00,16.1,73,100,0.4,0.4,51,1940,1940-09-22
1940-09-22T18:00,15.3,82,100,0.4,0.4,51,1940,1940-09-22
1940-09-22T19:00,15.6,86,100,0.1,0.1,51,1940,1940-09-22
1940-09-22T20:00,15.2,91,100,0.0,0.0,3,1940,1940-09-22
1940-09-22T21:00,15.4,94,100,0.0,0.0,3,1940,1940-09-22
1940-09-22T22:00,15.3,97,96,0.1,0.1,51,1940,1940-09-22
1940-09-22T23:00,13.7,91,88,0.0,0.0,3,1940,1940-09-22
1941-09-22T00:00,12.1,95,2,0.0,0.0,0,1941,1941-09-22
1941-09-22T01:00,12.0,95,3,0.0,0.0,0,1941,1941-09-22
1941-09-22T02:00,11.9,96,4,0.0,0.0,0,1941,1941-09-22
1941-09-22T03:00,11.5,97,1,0.0,0.0,0,1941,1941-09-22
1941-09-22T04:00,10.2,97,2,0.0,0.0,0,1941,1941-09-22
1941-09-22T05:00,10.2,97,2,0.0,0.0,0,1941,1941-09-22
1941-09-22T06:00,9.9,97,8,0.0,0.0,0,1941,1941-09-22
1941-09-22T07:00,10.0,98,16,0.0,0.0,0,1941,1941-09-22
1941-09-22T08:00,10.0,96,31,0.0,0.0,1,1941,1941-09-22
1941-09-22T09:00,11.1,91,39,0.0,0.0,1,1941,1941-09-22
1941-09-22T10:00,13.2,84,45,0.0,0.0,1,1941,1941-09-22
1941-09-22T11:00,17.7,76,46,0.0,0.0,1,1941,1941-09-22
1941-09-22T12:00,18.2,70,31,0.0,0.0,1,1941,1941-09-22
1941-09-22T13:00,19.3,64,20,0.0,0.0,1,1941,1941-09-22
1941-09-22T14:00,19.8,60,20,0.0,0.0,1,1941,1941-09-22
1941-09-22T15:00,20.5,57,27,0.0,0.0,1,1941,1941-09-22
1941-09-22T16:00,20.6,57,19,0.0,0.0,0,1941,1941-09-22
1941-09-22T17:00,20.4,59,6,0.0,0.0,0,1941,1941-09-22
1941-09-22T18:00,20.2,66,1,0.0,0.0,0,1941,1941-09-22
1941-09-22T19:00,19.9,73,1,0.0,0.0,0,1941,1941-09-22
1941-09-22T20:00,19.0,77,1,0.0,0.0,0,1941,1941-09-22
1941-09-22T21:00,15.2,79,0,0.0,0.0,0,1941,1941-09-22
1941-09-22T22:00,14.5,82,0,0.0,0.0,0,1941,1941-09-22
1941-09-22T23:00,13.5,83,0,0.0,0.0,0,1941,1941-09-22
1942-09-22T00:00,12.9,86,98,0.0,0.0,3,1942,1942-09-22
1942-09-22T01:00,12.7,86,99,0.0,0.0,3,1942,1942-09-22
1942-09-22T02:00,12.5,87,98,0.0,0.0,3,1942,1942-09-22
1942-09-22T03:00,12.4,88,97,0.0,0.0,3,1942,1942-09-22
1942-09-22T04:00,12.0,88,99,0.0,0.0,3,1942,1942-09-22
1942-09-22T05:00,11.6,88,88,0.0,0.0,3,1942,1942-09-22
1942-09-22T06:00,11.8,87,99,0.0,0.0,3,1942,1942-09-22
1942-09-22T07:00,12.1,84,96,0.0,0.0,3,1942,1942-09-22
1942-09-22T08:00,12.4,83,99,0.0,0.0,3,1942,1942-09-22
1942-09-22T09:00,13.3,80,99,0.0,0.0,3,1942,1942-09-22
1942-09-22T10:00,13.9,74,94,0.0,0.0,3,1942,1942-09-22
1942-09-22T11:00,14.9,74,99,0.0,0.0,3,1942,1942-09-22
1942-09-22T12:00,15.1,73,98,0.0,0.0,3,1942,1942-09-22
