datetime_local,temperature_C,relative_humidity_%,cloud_cover_%,precipitation_mm,rain_mm,year,date
1950-09-19T00:00,10.9,70,83,0.0,0.0,1950,1950-09-19
1950-09-19T01:00,10.6,72,65,0.0,0.0,1950,1950-09-19
1950-09-19T02:00,10.6,73,75,0.0,0.0,1950,1950-09-19
1950-09-19T03:00,10.8,72,87,0.0,0.0,1950,1950-09-19
1950-09-19T04:00,10.5,72,96,0.0,0.0,1950,1950-09-19
1950-09-19T05:00,10.1,74,94,0.0,0.0,1950,1950-09-19
1950-09-19T06:00,9.6,77,93,0.0,0.0,1950,1950-09-19
1950-09-19T07:00,9.4,82,93,0.0,0.0,1950,1950-09-19
1950-09-19T08:00,9.1,84,96,0.0,0.0,1950,1950-09-19
1950-09-19T09:00,11.1,77,100,0.0,0.0,1950,1950-09-19
1950-09-19T10:00,12.6,73,100,0.0,0.0,1950,1950-09-19
1950-09-19T11:00,14.0,66,99,0.0,0.0,1950,1950-09-19
1950-09-19T12:00,14.7,64,96,0.0,0.0,1950,1950-09-19
1950-09-19T13:00,15.1,63,100,0.0,0.0,1950,1950-09-19
1950-09-19T14:00,14.6,67,99,0.0,0.0,1950,1950-09-19
1950-09-19T15:00,14.1,73,99,0.0,0.0,1950,1950-09-19
1950-09-19T16:00,13.9,76,100,0.0,0.0,1950,1950-09-19
1950-09-19T17:00,13.9,77,100,0.0,0.0,1950,1950-09-19
1950-09-19T18:00,13.8,79,100,0.0,0.0,1950,1950-09-19
1950-09-19T19:00,13.2,83,98,0.0,0.0,1950,1950-09-19
1950-09-19T20:00,12.8,89,100,0.2,0.2,1950,1950-09-19
1950-09-19T21:00,12.5,92,100,0.1,0.1,1950,1950-09-19
1950-09-19T22:00,12.1,95,100,0.0,0.0,1950,1950-09-19
1950-09-19T23:00,12.1,95,93,0.0,0.0,1950,1950-09-19
1951-09-19T00:00,11.8,83,11,0.0,0.0,1951,1951-09-19
1951-09-19T01:00,11.5,85,21,0.0,0.0,1951,1951-09-19
1951-09-19T02:00,11.1,88,24,0.0,0.0,1951,1951-09-19
1951-09-19T03:00,11.4,87,22,0.0,0.0,1951,1951-09-19
1951-09-19T04:00,11.6,87,39,0.0,0.0,1951,1951-09-19
1951-09-19T05:00,11.6,87,68,0.0,0.0,1951,1951-09-19
1951-09-19T06:00,11.8,86,88,0.0,0.0,1951,1951-09-19
1951-09-19T07:00,11.9,85,93,0.0,0.0,1951,1951-09-19
1951-09-19T08:00,11.6,86,99,0.0,0.0,1951,1951-09-19
1951-09-19T09:00,12.6,80,90,0.0,0.0,1951,1951-09-19
1951-09-19T10:00,13.9,73,92,0.0,0.0,1951,1951-09-19
1951-09-19T11:00,14.8,69,80,0.1,0.1,1951,1951-09-19
1951-09-19T12:00,15.4,64,100,0.0,0.0,1951,1951-09-19
1951-09-19T13:00,16.0,59,100,0.1,0.1,1951,1951-09-19
1951-09-19T14:00,16.2,58,100,0.0,0.0,1951,1951-09-19
1951-09-19T15:00,16.2,59,98,0.0,0.0,1951,1951-09-19
1951-09-19T16:00,16.1,60,91,0.0,0.0,1951,1951-09-19
1951-09-19T17:00,15.9,62,99,0.0,0.0,1951,1951-09-19
1951-09-19T18:00,15.7,64,98,0.0,0.0,1951,1951-09-19
1951-09-19T19:00,14.9,68,97,0.0,0.0,1951,1951-09-19
1951-09-19T20:00,14.3,70,92,0.0,0.0,1951,1951-09-19
1951-09-19T21:00,13.7,73,99,0.0,0.0,1951,1951-09-19
1951-09-19T22:00,13.3,75,99,0.0,0.0,1951,1951-09-19
1951-09-19T23:00,12.6,79,96,0.0,0.0,1951,1951-09-19
1952-09-19T00:00,6.2,66,3,0.0,0.0,1952,1952-09-19
1952-09-19T01:00,5.6,69,2,0.0,0.0,1952,1952-09-19
1952-09-19T02:00,4.9,72,2,0.0,0.0,1952,1952-09-19
1952-09-19T03:00,4.4,76,0,0.0,0.0,1952,1952-09-19
1952-09-19T04:00,3.9,79,1,0.0,0.0,1952,1952-09-19
1952-09-19T05:00,3.7,82,5,0.0,0.0,1952,1952-09-19
1952-09-19T06:00,3.8,83,41,0.0,0.0,1952,1952-09-19
1952-09-19T07:00,4.4,84,78,0.0,0.0,1952,1952-09-19
1952-09-19T08:00,5.1,84,84,0.0,0.0,1952,1952-09-19
1952-09-19T09:00,6.8,78,89,0.0,0.0,1952,1952-09-19
1952-09-19T10:00,8.4,71,33,0.0,0.0,1952,1952-09-19
1952-09-19T11:00,9.8,64,68,0.0,0.0,1952,1952-09-19
1952-09-19T12:00,10.6,63,87,0.1,0.1,1952,1952-09-19
1952-09-19T13:00,11.3,62,51,0.2,0.2,1952,1952-09-19
1952-09-19T14:00,11.8,59,40,0.1,0.1,1952,1952-09-19
1952-09-19T15:00,11.4,57,47,0.0,0.0,1952,1952-09-19
1952-09-19T16:00,11.9,50,66,0.0,0.0,1952,1952-09-19
1952-09-19T17:00,12.1,45,51,0.0,0.0,1952,1952-09-19
1952-09-19T18:00,11.7,48,23,0.0,0.0,1952,1952-09-19
1952-09-19T19:00,10.6,53,26,0.0,0.0,1952,1952-09-19
1952-09-19T20:00,9.6,61,37,0.0,0.0,1952,1952-09-19
1952-09-19T21:00,9.4,65,59,0.0,0.0,1952,1952-09-19
1952-09-19T22:00,9.1,70,56,0.0,0.0,1952,1952-09-19
1952-09-19T23:00,8.8,76,49,0.0,0.0,1952,1952-09-19
1953-09-19T00:00,11.2,89,26,0.0,0.0,1953,1953-09-19
1953-09-19T01:00,10.6,92,47,0.0,0.0,1953,1953-09-19
1953-09-19T02:00,10.2,94,69,0.0,0.0,1953,1953-09-19
1953-09-19T03:00,9.4,96,94,0.0,0.0,1953,1953-09-19
1953-09-19T04:00,8.9,97,100,0.0,0.0,1953,1953-09-19
1953-09-19T05:00,8.5,98,100,0.0,0.0,1953,1953-09-19
1953-09-19T06:00,7.8,99,100,0.0,0.0,1953,1953-09-19
1953-09-19T07:00,7.4,99,100,0.0,0.0,1953,1953-09-19
1953-09-19T08:00,9.1,99,100,0.0,0.0,1953,1953-09-19
1953-09-19T09:00,10.3,97,100,0.0,0.0,1953,1953-09-19
1953-09-19T10:00,12.1,85,100,0.0,0.0,1953,1953-09-19
1953-09-19T11:00,14.2,76,87,0.0,0.0,1953,1953-09-19
1953-09-19T12:00,16.4,62,97,0.0,0.0,1953,1953-09-19
1953-09-19T13:00,17.7,53,100,0.0,0.0,1953,1953-09-19
1953-09-19T14:00,18.0,52,100,0.0,0.0,1953,1953-09-19
1953-09-19T15:00,17.5,56,100,0.0,0.0,1953,1953-09-19
1953-09-19T16:00,17.0,61,100,0.0,0.0,1953,1953-09-19
1953-09-19T17:00,16.5,65,100,0.0,0.0,1953,1953-09-19
1953-09-19T18:00,15.8,70,100,0.1,0.1,1953,1953-09-19
1953-09-19T19:00,15.1,75,95,0.1,0.1,1953,1953-09-19
1953-09-19T20:00,14.9,75,100,0.0,0.0,1953,1953-09-19
1953-09-19T21:00,14.8,75,99,0.0,0.0,1953,1953-09-19
1953-09-19T22:00,15.0,73,100,0.0,0.0,1953,1953-09-19
1953-09-19T23:00,15.2,73,99,0.0,0.0,1953,1953-09-19
1954-09-19T00:00,11.8,94,100,0.0,0.0,1954,1954-09-19
1954-09-19T01:00,11.3,95,100,0.0,0.0,1954,1954-09-19
1954-09-19T02:00,11.4,95,100,0.0,0.0,1954,1954-09-19
1954-09-19T03:00,11.2,96,100,0.0,0.0,1954,1954-09-19
1954-09-19T04:00,11.2,97,100,0.0,0.0,1954,1954-09-19
1954-09-19T05:00,11.1,97,100,0.0,0.0,1954,1954-09-19
1954-09-19T06:00,11.1,98,100,0.0,0.0,1954,1954-09-19
1954-09-19T07:00,11.1,98,100,0.0,0.0,1954,1954-09-19
1954-09-19T08:00,11.3,96,100,0.0,0.0,1954,1954-09-19
1954-09-19T09:00,11.9,91,92,0.0,0.0,1954,1954-09-19
1954-09-19T10:00,13.2,84,78,0.0,0.0,1954,1954-09-19
1954-09-19T11:00,14.9,74,77,0.0,0.0,1954,1954-09-19
1954-09-19T12:00,16.1,66,73,0.0,0.0,1954,1954-09-19
1954-09-19T13:00,17.1,59,32,0.1,0.1,1954,1954-09-19
1954-09-19T14:00,17.6,56,54,0.1,0.1,1954,1954-09-19
1954-09-19T15:00,18.0,53,50,0.1,0.1,1954,1954-09-19
1954-09-19T16:00,17.8,51,52,0.0,0.0,1954,1954-09-19
1954-09-19T17:00,17.4,51,41,0.0,0.0,1954,1954-09-19
1954-09-19T18:00,16.5,55,44,0.0,0.0,1954,1954-09-19
1954-09-19T19:00,15.5,59,38,0.0,0.0,1954,1954-09-19
1954-09-19T20:00,14.8,70,35,0.0,0.0,1954,1954-09-19
1954-09-19T21:00,13.9,74,32,0.0,0.0,1954,1954-09-19
1954-09-19T22:00,13.2,78,13,0.0,0.0,1954,1954-09-19
1954-09-19T23:00,12.6,81,12,0.0,0.0,1954,1954-09-19
1955-09-19T00:00,11.4,77,0,0.0,0.0,1955,1955-09-19
1955-09-19T01:00,11.1,78,0,0.0,0.0,1955,1955-09-19
1955-09-19T02:00,11.2,78,0,0.0,0.0,1955,1955-09-19
1955-09-19T03:00,10.9,80,0,0.0,0.0,1955,1955-09-19
1955-09-19T04:00,10.4,83,0,0.0,0.0,1955,1955-09-19
1955-09-19T05:00,10.1,85,0,0.0,0.0,1955,1955-09-19
1955-09-19T06:00,9.4,89,0,0.0,0.0,1955,1955-09-19
1955-09-19T07:00,8.2,92,3,0.0,0.0,1955,1955-09-19
1955-09-19T08:00,8.5,92,18,0.0,0.0,1955,1955-09-19
1955-09-19T09:00,12.5,74,16,0.0,0.0,1955,1955-09-19
1955-09-19T10:00,15.1,63,19,0.0,0.0,1955,1955-09-19
1955-09-19T11:00,16.9,54,28,0.0,0.0,1955,1955-09-19
1955-09-19T12:00,17.9,51,27,0.0,0.0,1955,1955-09-19
1955-09-19T13:00,18.6,48,22,0.0,0.0,1955,1955-09-19
1955-09-19T14:00,19.0,46,22,0.0,0.0,1955,1955-09-19
1955-09-19T15:00,19.3,45,12,0.0,0.0,1955,1955-09-19
1955-09-19T16:00,19.2,44,8,0.0,0.0,1955,1955-09-19
1955-09-19T17:00,18.8,44,5,0.0,0.0,1955,1955-09-19
1955-09-19T18:00,17.9,48,0,0.0,0.0,1955,1955-09-19
1955-09-19T19:00,16.1,55,0,0.0,0.0,1955,1955-09-19
