date,high_C,low_C,precip_mm,rain_mm,rained,humidity_mean_%,year
1950-09-19,15.1,9.1,0.3,0.3,True,76.875,1950
1951-09-19,16.2,11.1,0.2,0.2,True,74.45833333333333,1951
1952-09-19,12.1,3.7,0.4,0.4,True,67.375,1952
1953-09-19,18.0,7.4,0.2,0.2,True,79.625,1953
1954-09-19,18.0,11.1,0.3,0.3,True,77.83333333333333,1954
1955-09-19,19.3,8.2,0.0,0.0,False,67.5,1955
1956-09-19,19.2,9.2,0.0,0.0,False,85.625,1956
1957-09-19,18.9,9.3,0.0,0.0,False,80.5,1957
1958-09-19,19.1,14.5,3.8,3.8,True,82.08333333333333,1958
1959-09-19,19.0,11.4,0.3,0.3,True,79.75,1959
1960-09-19,17.2,10.6,8.8,8.8,True,90.75,1960
1961-09-19,27.1,17.5,0.0,0.0,False,77.08333333333333,1961
1962-09-19,14.8,9.3,0.6,0.6,True,74.75,1962
1963-09-19,16.8,10.9,0.3,0.3,True,83.79166666666667,1963
1964-09-19,16.8,10.9,0.0,0.0,False,68.125,1964
1965-09-19,17.2,5.9,0.0,0.0,False,75.29166666666667,1965
1966-09-19,17.2,10.7,0.0,0.0,False,81.04166666666667,1966
1967-09-19,16.5,10.9,4.9,4.9,True,78.54166666666667,1967
1968-09-19,17.1,10.5,0.5,0.5,True,83.625,1968
1969-09-19,17.6,10.6,0.6,0.6,True,76.29166666666667,1969
1970-09-19,21.1,9.0,0.0,0.0,False,83.08333333333333,1970
1971-09-19,18.8,7.9,0.0,0.0,False,74.875,1971
1972-09-19,15.1,9.2,3.2,3.2,True,83.08333333333333,1972
1973-09-19,16.4,12.6,4.5,4.5,True,79.83333333333333,1973
1974-09-19,15.8,6.7,0.0,0.0,False,75.83333333333333,1974
1975-09-19,18.2,11.1,0.4,0.4,True,86.625,1975
1976-09-19,18.0,9.6,0.0,0.0,False,79.29166666666667,1976
1977-09-19,14.0,10.3,0.1,0.1,True,77.58333333333333,1977
1978-09-19,16.2,7.9,0.0,0.0,False,76.04166666666667,1978
1979-09-19,19.1,15.6,5.1,5.1,True,90.79166666666667,1979
1980-09-19,19.8,14.6,0.0,0.0,False,82.79166666666667,1980
1981-09-19,17.1,11.8,11.6,11.6,True,81.70833333333333,1981
1982-09-19,22.0,13.1,6.4,6.4,True,88.375,1982
1983-09-19,17.0,11.2,0.4,0.4,True,69.91666666666667,1983
1984-09-19,16.2,10.5,0.0,0.0,False,72.5,1984
1985-09-19,19.4,15.1,0.0,0.0,False,82.875,1985
1986-09-19,14.7,5.3,0.0,0.0,False,80.875,1986
1987-09-19,17.4,12.3,5.9,5.9,True,90.16666666666667,1987
1988-09-19,17.7,10.4,0.0,0.0,False,76.41666666666667,1988
1989-09-19,19.5,13.1,0.8,0.8,True,70.5,1989
1990-09-19,16.2,11.4,3.8,3.8,True,63.541666666666664,1990
1991-09-19,17.2,8.8,0.0,0.0,False,64.91666666666667,1991
1992-09-19,19.0,11.9,0.4,0.4,True,90.70833333333333,1992
1993-09-19,18.7,7.8,0.0,0.0,False,78.625,1993
1994-09-19,12.6,8.3,12.0,12.0,True,87.125,1994
1995-09-19,19.0,13.4,2.0,2.0,True,84.25,1995
1996-09-19,13.6,9.8,1.9,1.9,True,76.95833333333333,1996
1997-09-19,17.0,14.1,1.7,1.7,True,80.29166666666667,1997
1998-09-19,21.4,13.7,0.0,0.0,False,85.41666666666667,1998
1999-09-19,16.5,15.0,8.3,8.3,True,87.5,1999
2000-09-19,15.6,11.6,33.4,33.4,True,93.91666666666667,2000
2001-09-19,14.1,11.6,5.9,5.9,True,91.20833333333333,2001
2002-09-19,18.8,13.1,0.1,0.1,True,76.75,2002
2003-09-19,22.2,12.9,0.0,0.0,False,74.91666666666667,2003
2004-09-19,17.2,9.3,0.0,0.0,False,73.875,2004
2005-09-19,18.0,13.3,0.0,0.0,False,74.91666666666667,2005
2006-09-19,19.5,12.2,0.2,0.2,True,67.625,2006
2007-09-19,17.7,8.4,0.0,0.0,False,71.20833333333333,2007
2008-09-19,17.6,7.4,0.2,0.2,True,75.5,2008
2009-09-19,21.5,12.6,0.7,0.7,True,79.66666666666667,2009
2010-09-19,17.1,10.2,0.0,0.0,False,76.20833333333333,2010
2011-09-19,17.5,9.2,0.0,0.0,False,77.95833333333333,2011
2012-09-19,14.9,7.2,0.0,0.0,False,63.708333333333336,2012
2013-09-19,16.1,7.4,1.3,1.3,True,83.0,2013
2014-09-19,22.8,13.9,7.0,7.0,True,91.0,2014
2015-09-19,17.5,9.9,0.0,0.0,False,78.29166666666667,2015
2016-09-19,19.4,14.6,1.6,1.6,True,81.875,2016
2017-09-19,14.4,7.4,1.5,1.5,True,79.83333333333333,2017
2018-09-19,22.1,16.8,0.2,0.2,True,75.79166666666667,2018
2019-09-19,20.7,7.8,0.0,0.0,False,70.58333333333333,2019
2020-09-19,23.3,13.1,0.0,0.0,False,67.08333333333333,2020
2021-09-19,18.5,13.9,3.3,3.3,True,86.75,2021
2022-09-19,16.9,9.0,0.3,0.3,True,73.20833333333333,2022
2023-09-19,19.3,13.3,0.4,0.4,True,75.83333333333333,2023
2024-09-19,24.0,14.7,0.1,0.1,True,78.95833333333333,2024
